# Source: ToR section 6.1 "Time Frame for Plan Implementation", phase-level rows (months). Phases run consecutively, July 2024 - June 2027 (36 months).
phase,start,end,months
Initial activities (agreement to inception report),2024-07-01,2024-08-31,2
Primary data collection,2024-09-01,2025-01-31,5
Secondary data collection,2025-02-01,2025-03-31,2
Project design specifications,2025-04-01,2025-11-30,8
Cost estimation,2025-12-01,2026-02-28,3
Conservation work,2026-03-01,2027-01-31,11
Work finishing & evaluation,2027-02-01,2027-03-31,2
Reporting & documentation,2027-04-01,2027-06-30,3
